No,Kode,NamaPerusahaan,papanPencatatan,Sektor,numSelisih,numPenutupan,numGainers,Gainers,numVolume,Volume,numNilai,Nilai,numFreq,Freq
314,HDTX,Panasia Indo Resources Tbk.,Pengembangan,Cyclic,0,120,0.00%,gainersRendah,0,volumeRendah,0,nilaiRendah,0,freqRendah
315,HEAL,Medikaloka Hermina Tbk.,Utama,Healthcare,-25,1525,-1.61%,gainersRendah,6912100,volumeRendah,10587429000,nilaiRendah,4498,freqSedang freqRendah
316,HELI,Jaya Trishindo Tbk.,Pengembangan,Transportation & Logistic,4,256,1.59%,gainersRendah,10400,volumeRendah,2701200,nilaiRendah,12,freqRendah
317,HERO,Hero Supermarket Tbk.,Utama,Noncyc,55,1680,3.38%,gainersSedang gainersRendah,191100,volumeRendah,323578500,nilaiRendah,128,freqRendah
318,HEXA,Hexindo Adiperkasa Tbk.,Utama,Industrials,0,5625,0.00%,gainersRendah,351400,volumeRendah,1970337500,nilaiRendah,441,freqRendah
319,HITS,Humpuss Intermoda Transportasi Tbk.,Utama,Energy,-35,505,-6.48%,gainersRendah,1100900,volumeRendah,578611500,nilaiRendah,256,freqRendah
320,HKMU,HK Metals Utama Tbk.,Utama,Basic Materials,0,50,0.00%,gainersRendah,12300,volumeRendah,615000,nilaiRendah,5,freqRendah
321,HMSP,H.M. Sampoerna Tbk.,Utama,Noncyc,-35,940,-3.59%,gainersRendah,64288500,volumeSedang volumeRendah,60400263000,nilaiSedang nilaiRendah,5926,freqSedang freqRendah
322,HOKI,Buyung Poetra Sembada Tbk.,Utama,Noncyc,2,128,1.59%,gainersRendah,12820500,volumeRendah,1649950700,nilaiRendah,3326,freqSedang freqRendah
323,HOME,Hotel Mandarine Regency Tbk.,Pengembangan,Cyclic,0,50,0.00%,gainersRendah,0,volumeRendah,0,nilaiRendah,0,freqRendah
324,HOMI,Grand House Mulia Tbk.,Pengembangan,Properties & Real Estate,-5,725,-0.68%,gainersRendah,9190000,volumeRendah,6722029500,nilaiRendah,692,freqRendah
325,HOPE,Harapan Duta Pertiwi Tbk.,Pengembangan,Industrials,-1,53,-1.85%,gainersRendah,2470000,volumeRendah,131193900,nilaiRendah,321,freqRendah
326,HOTL,Saraswati Griya Lestari Tbk.,Utama,Cyclic,0,50,0.00%,gainersRendah,0,volumeRendah,0,nilaiRendah,0,freqRendah
327,HRME,Menteng Heritage Realty Tbk.,Pengembangan,Cyclic,-1,53,-1.85%,gainersRendah,1067600,volumeRendah,56771600,nilaiRendah,45,freqRendah
328,HRTA,Hartadinata Abadi Tbk.,Utama,Cyclic,-2,202,-0.98%,gainersRendah,6944600,volumeRendah,1405622400,nilaiRendah,377,freqRendah
329,HRUM,Harum Energy Tbk.,Utama,Energy,10,1590,0.63%,gainersRendah,26089400,volumeSedang volumeRendah,41093286500,nilaiSedang nilaiRendah,4397,freqSedang freqRendah
330,IATA,MNC Energy Investments Tbk.,Pengembangan,Energy,0,140,0.00%,gainersRendah,57629000,volumeSedang volumeRendah,7857216900,nilaiRendah,1983,freqRendah
331,IBFN,Intan Baru Prana Tbk.,Pengembangan,Financials,0,97,0.00%,gainersRendah,0,volumeRendah,0,nilaiRendah,0,freqRendah
332,IBOS,Indo Boga Sukses Tbk.,Akselerasi,Noncyc,-2,90,-2.17%,gainersRendah,138800,volumeRendah,12612500,nilaiRendah,51,freqRendah
333,IBST,Inti Bangun Sejahtera Tbk.,Utama,Infrasctructures,-325,6175,-5.00%,gainersRendah,800,volumeRendah,5125000,nilaiRendah,8,freqRendah
